vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
(주)농협목우촌,주부9단 비엔나소시지,180g,"2,040원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35494&type=1,식품,농협목우촌 주부9단 비엔나소시지 180g,4365.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=3659784741&sub-id=1003&service-code=10000003&lcd=100000036,2040,180.0,53.3
(주) 움트리,(영외)저당초장,450g,"1,860원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35720&type=1,식품,움트리 영외 저당초장 450g,7990.0,20,Success,https://search.shopping.naver.com/catalog/51929038871,1860,450.0,76.7
(주)오뚜기,오즈키친 치킨마크니,180 g,"1,840원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35400&type=1,식품,오뚜기 오즈키친 치킨마크니 180 g,3790.0,20,Success,https://search.shopping.naver.com/catalog/53000029271,1840,180.0,51.5
(주)비젼유통,간편마늘보쌈,170g,"5,560원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35584&type=1,식품,비젼유통 간편마늘보쌈 170g,,0,Capacity Parse Failed,,5560,170.0,
(주)더위,헬로우 마카다미아 바닐라향 로스티드,120g,"4,810원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35538&type=1,음료,더위 헬로우 마카다미아 바닐라향 로스티드 120g,19408.69565217391,2,Low Sample,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8207126026&ctag=8207126026&lptag=I24045720841&itemId=24045720841&vendorItemId=91065815195&spec=10305199,4810,120.0,75.2
(주)오뚜기,오뚜기 참깨라면볶음면,110 g,"1,540원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35698&type=1,식품,오뚜기 오뚜기 참깨라면볶음면 110 g,9550.0,20,Success,https://shopping.naver.com/outlink/itemdetail/13330108793,1540,110.0,83.9
(주) 움트리,(영외)와사비초고추장,500g,"1,460원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35688&type=1,식품,움트리 영외 와사비초고추장 500g,2690.0,20,Success,https://smartstore.naver.com/main/products/9494265196,1460,500.0,45.7
씨제이제일제당(주),고메 갈릭치즈 피자,325g,"4,100원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35496&type=1,식품,씨제이제일제당 고메 갈릭치즈 피자 325g,5999.999999999999,20,Success,https://smartstore.naver.com/main/products/12428483500,4100,325.0,31.7
씨제이제일제당(주),(영외)다담 우렁 강된장비빔양념,140g,"1,130원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35692&type=1,식품,씨제이제일제당 영외 다담 우렁 강된장비빔양념 140g,2945.0,20,Success,https://smartstore.naver.com/main/products/11733198130,1130,140.0,61.6
(주)영남코프레이션,퀴네 발사믹 드레싱용소스 250ml,250ml,"2,280원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35634&type=1,식품,영남코프레이션 퀴네 발사믹 드레싱용소스 250ml,4050.0,20,Success,https://link.auction.co.kr/gate/pcs?item-no=F237281443&sub-id=1&service-code=10000003,2280,250.0,43.7
풀무원식품 주식회사,(영외)[24]평양냉면2인_846g,846,"3,000원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35560&type=1,식품,풀무원식품 영외 24 평양냉면2인_846g,7700.000000000001,20,Success,https://shop.pulmuone.co.kr/ad/gateway/naverep/40412,3000,846.0,61.0
(주)오뚜기,(영외)콩기름1.8L,1.8L,"4,760원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35456&type=1,식품,오뚜기 영외 콩기름1.8L,25240.0,20,Success,https://smartstore.naver.com/main/products/12655198136,4760,1800.0,81.1
주식회사 사조대림,(영외)쫄깃한 당면 500g,500g,"2,910원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35406&type=1,식품,사조대림 영외 쫄깃한 당면 500g,2850.0,20,Success,https://smartstore.naver.com/main/products/10108886787,2910,500.0,-2.1
(주)하림,하얀속살슬림닭가슴살,135g,"1,920원",https://www.welfare.mil.kr/shop/imgView.do?p_code=26866&type=1,식품,하림 하얀속살슬림닭가슴살 135g,,0,Max Retries,,1920,135.0,
주)미쓰리,미쓰리치즈떠뽀끼(오리지널),133g,"1,870원",https://www.welfare.mil.kr/shop/imgView.do?p_code=26784&type=1,식품,주)미쓰리 미쓰리치즈떠뽀끼 오리지널 133g,13570.0,1,Low Sample,https://search.shopping.naver.com/catalog/55918618615,1870,133.0,86.2
(주)진주햄,천하장사,84g,800원,https://www.welfare.mil.kr/shop/imgView.do?p_code=4076&type=1,식품,진주햄 천하장사 84g,8400.0,19,Success,https://smartstore.naver.com/main/products/11925296062,800,84.0,90.5
(주)사조대림,사조마일드참치 안심따개,100g,"1,260원",https://www.welfare.mil.kr/shop/imgView.do?p_code=26724&type=1,식품,사조대림 사조마일드참치 안심따개 100g,,0,Max Retries,,1260,100.0,
(주)오뚜기,스낵면,108g,410원,https://www.welfare.mil.kr/shop/imgView.do?p_code=26770&type=1,식품,오뚜기 스낵면 108g,2540.0,20,Success,https://smartstore.naver.com/main/products/10569295649,410,108.0,83.9
(주)오뚜기,진라면매운맛(용기),110g,670원,https://www.welfare.mil.kr/shop/imgView.do?p_code=26816&type=1,식품,오뚜기 진라면매운맛 용기 110g,1180.0,19,Success,https://search.shopping.naver.com/catalog/53393266256,670,110.0,43.2
